#{"t_start": 1774554981.1472578, "env_id": "None"}
r,l,t,is_success,done_reason,reached_grasped,reached_on_belt,grasped_ratio,on_belt_ratio
-209.61932,500,1.7819,False,max_steps,False,False,0.0,0.0
-261.224,500,1.781994,False,max_steps,False,False,0.0,0.0
-250.0,500,1.782016,False,max_steps,False,False,0.0,0.0
-225.40344,500,1.782023,False,max_steps,False,False,0.0,0.0
-262.13043,500,1.782028,False,max_steps,False,False,0.0,0.0
-239.6836,500,1.782032,False,max_steps,False,False,0.0,0.0
-257.9961,500,1.782037,False,max_steps,False,False,0.0,0.0
-226.51395,500,1.782041,False,max_steps,False,False,0.0,0.0
-247.56075,500,1.782045,False,max_steps,False,False,0.0,0.0
-268.7353,500,1.782049,False,max_steps,False,False,0.0,0.0
-241.5361,500,6.09396,False,max_steps,False,False,0.0,0.0
-259.45145,500,6.094052,False,max_steps,False,False,0.0,0.0
-266.2034,500,6.094077,False,max_steps,False,False,0.0,0.0
-219.31252,500,6.094095,False,max_steps,False,False,0.0,0.0
-258.77277,500,6.0941,False,max_steps,False,False,0.0,0.0
-261.8042,500,6.094105,False,max_steps,False,False,0.0,0.0
-270.77228,500,6.09411,False,max_steps,False,False,0.0,0.0
-245.52505,500,6.094115,False,max_steps,False,False,0.0,0.0
-249.68253,500,6.09412,False,max_steps,False,False,0.0,0.0
-278.8871,500,6.094124,False,max_steps,False,False,0.0,0.0
-236.42653,500,7.362509,False,max_steps,False,False,0.0,0.0
-244.58131,500,7.3626,False,max_steps,False,False,0.0,0.0
-251.2379,500,7.362625,False,max_steps,False,False,0.0,0.0
-271.46896,500,7.362632,False,max_steps,False,False,0.0,0.0
-255.70006,500,7.362638,False,max_steps,False,False,0.0,0.0
-233.30428,500,7.362643,False,max_steps,False,False,0.0,0.0
-242.63576,500,7.362648,False,max_steps,False,False,0.0,0.0
-250.0,500,7.362654,False,max_steps,False,False,0.0,0.0
-273.55264,500,7.362659,False,max_steps,False,False,0.0,0.0
-250.69609,500,7.362664,False,max_steps,False,False,0.0,0.0
-258.87097,500,8.642099,False,max_steps,False,False,0.0,0.0
-236.65808,500,8.642189,False,max_steps,False,False,0.0,0.0
-251.75488,500,8.642212,False,max_steps,False,False,0.0,0.0
-241.2852,500,8.64222,False,max_steps,False,False,0.0,0.0
-251.55827,500,8.642227,False,max_steps,False,False,0.0,0.0
